amount,timestamp,merchant,location,user_id,is_true_anomaly
186811.94,2025-12-26 06:39:00,Toko Online,Surakarta,44,0
563376.65,2025-05-19 07:11:00,Toko Online,Prabumulih,41,0
154598.09,2025-08-11 12:56:00,Supermarket,Kupang,490,0
160149.63,2025-09-28 16:48:00,Tagihan,Makassar,222,0
140505.75,2025-11-22 09:20:00,Supermarket,Gorontalo,189,0
64375.63,2025-10-31 23:10:00,Supermarket,Pematangsiantar,46,0
164116.9,2025-09-06 06:55:00,Toko Online,Bandar Lampung,329,0
62010.52,2025-03-11 05:06:00,Toko Online,Padang,306,0
38563.73,2025-11-12 14:38:00,Transportasi,Balikpapan,317,0
249182.95,2025-06-26 14:51:00,Tagihan,Banjarbaru,62,0
413863.56,2025-09-18 12:39:00,Tagihan,Meulaboh,145,0
408050.81,2025-12-13 18:07:00,Transportasi,Jambi,412,0
67673.04,2025-09-07 05:48:00,Tagihan,Pagaralam,390,0
100699.68,2026-01-09 05:41:00,Restoran,Kupang,126,0
261888.64,2025-10-12 12:10:00,Kafe,Purwokerto,144,0
206730.54,2025-12-21 02:49:00,Transportasi,Makassar,41,0
403975.34,2025-11-20 19:09:00,Restoran,Banda Aceh,170,0
31680.18,2025-10-09 11:55:00,Supermarket,Kota Administrasi Jakarta Selatan,95,0
314938.28,2025-07-22 16:52:00,Restoran,Manado,214,0
81410.6,2025-05-28 21:29:00,Restoran,Tomohon,81,0
132017.48,2025-04-06 16:05:00,Tagihan,Palopo,406,0
559863.86,2025-10-11 14:30:00,Transportasi,Probolinggo,121,0
96763.95,2025-10-09 15:05:00,Kafe,Palembang,444,0
388838.09,2025-08-17 00:17:00,Tagihan,Tegal,72,0
80191.68,2025-07-11 04:44:00,Restoran,Meulaboh,346,0
93722.58,2026-01-21 13:30:00,Toko Online,Padang Sidempuan,218,0
262036.18,2025-11-02 19:40:00,Supermarket,Tangerang Selatan,350,0
481883.6,2026-01-27 06:13:00,Kafe,Sibolga,404,0
576009.36,2025-06-17 01:17:00,Supermarket,Semarang,167,0
112617.1,2025-12-31 07:38:00,Supermarket,Kota Administrasi Jakarta Selatan,496,0
154098.1,2025-02-17 05:46:00,Transportasi,Sorong,480,0
240691.57,2025-05-26 05:11:00,Kafe,Magelang,376,0
506290.1,2025-09-16 04:32:00,Transportasi,Jambi,131,0
344581.62,2025-04-02 21:15:00,Supermarket,Sukabumi,345,0
396771.83,2025-06-09 00:12:00,Toko Online,Surabaya,118,0
91333.68,2025-05-16 17:18:00,Toko Online,Cilegon,286,0
141777.38,2025-08-23 22:34:00,Restoran,Sabang,186,0
113233.73,2025-11-07 00:37:00,Kafe,Tual,46,0
656230.09,2025-02-08 13:51:00,Toko Online,Makassar,75,0
201309.54,2025-08-07 13:44:00,Kafe,Metro,100,0
209896.08,2025-05-25 16:47:00,Restoran,Padangpanjang,228,0
124476.4,2025-12-25 15:46:00,Toko Online,Kota Administrasi Jakarta Timur,282,0
298300.14,2025-05-25 12:31:00,Toko Online,Malang,334,0
134560.21,2025-07-10 13:18:00,Transportasi,Meulaboh,304,0
249947.84,2025-06-09 01:11:00,Tagihan,Bukittinggi,473,0
207155.24,2025-05-24 09:26:00,Toko Online,Palu,197,0
273772.59,2025-03-03 05:54:00,Tagihan,Palu,382,0
330825.56,2025-12-30 08:52:00,Restoran,Tangerang,491,0
276208.23,2025-02-22 22:20:00,Toko Online,Pekalongan,427,0
180234.36,2025-04-21 23:35:00,Restoran,Semarang,132,0
474211.15,2025-04-10 22:58:00,Kafe,Balikpapan,7,0
380474.3,2025-03-27 18:56:00,Supermarket,Kota Administrasi Jakarta Barat,167,0
75978.24,2025-04-18 03:05:00,Restoran,Semarang,33,0
155526.34,2025-07-04 16:58:00,Supermarket,Tangerang,50,0
54551.73,2025-12-30 16:32:00,Transportasi,Tanjungpinang,150,0
496680.02,2025-07-04 21:59:00,Transportasi,Pematangsiantar,2,0
103086.31,2025-04-12 22:49:00,Transportasi,Bontang,323,0
524239.3,2025-12-20 08:52:00,Transportasi,Surakarta,328,0
410821.33,2025-04-17 02:01:00,Transportasi,Bima,37,0
77056.76,2026-01-10 17:20:00,Tagihan,Medan,46,0
46142.36,2025-10-11 05:10:00,Toko Online,Balikpapan,182,0
436765.05,2025-10-05 23:24:00,Supermarket,Gorontalo,160,0
318061.87,2026-02-07 14:47:00,Tagihan,Sibolga,255,0
291275.22,2025-01-01 01:23:00,Toko Online,Bekasi,173,0
626549.55,2025-11-16 13:26:00,Supermarket,Pekanbaru,83,0
306343.26,2026-01-07 15:20:00,Toko Online,Kotamobagu,195,0
166221.29,2025-04-27 19:27:00,Toko Online,Yogyakarta,177,0
304622.96,2025-02-25 10:26:00,Toko Online,Sabang,359,0
107655.62,2025-08-09 06:41:00,Kafe,Tanjungbalai,445,0
258995.63,2025-03-06 08:40:00,Kafe,Denpasar,342,0
238874.62,2025-06-15 03:33:00,Toko Online,Bekasi,430,0
6631098.43,2026-02-17 05:49:00,Transportasi,Pasuruan,417,1
82332.1,2025-07-01 21:13:00,Kafe,Bekasi,200,0
614765.69,2025-12-28 22:09:00,Supermarket,Probolinggo,61,0
255651.63,2025-11-25 15:48:00,Tagihan,Cimahi,360,0
204676.53,2025-06-16 21:30:00,Transportasi,Padang,13,0
428800.34,2025-06-27 03:49:00,Restoran,Kota Administrasi Jakarta Selatan,22,0
181184.37,2025-03-20 09:20:00,Restoran,Cilegon,178,0
321344.43,2025-08-06 09:41:00,Kafe,Tanjungpinang,409,0
103334.97,2025-08-14 18:49:00,Transportasi,Padangpanjang,445,0
259859.89,2025-12-31 16:41:00,Restoran,Meulaboh,316,0
69240.36,2025-04-12 02:26:00,Transportasi,Jambi,385,0
493065.83,2025-10-29 22:58:00,Toko Online,Kotamobagu,6,0
321827.83,2025-05-03 12:04:00,Toko Online,Sibolga,160,0
297376.35,2025-03-30 07:44:00,Transportasi,Cirebon,40,0
241776.18,2025-02-12 03:16:00,Toko Online,Purwokerto,240,0
551194.28,2025-05-01 18:44:00,Transportasi,Padang Sidempuan,129,0
444424.5,2025-10-27 06:57:00,Restoran,Bima,455,0
491962.83,2025-02-02 18:44:00,Kafe,Bekasi,18,0
240429.12,2025-11-12 20:46:00,Transportasi,Tarakan,27,0
555104.79,2025-05-21 16:00:00,Supermarket,Bitung,251,0
258512.69,2025-03-11 03:12:00,Restoran,Surabaya,255,0
112746.12,2025-06-12 03:43:00,Toko Online,Blitar,161,0
314445.47,2025-01-18 17:22:00,Tagihan,Surakarta,198,0
430975.92,2025-11-30 19:27:00,Restoran,Gorontalo,88,0
734433.82,2025-06-05 12:44:00,Transportasi,Serang,261,0
136155.42,2025-12-08 02:22:00,Toko Online,Serang,339,0
229927.19,2025-07-22 01:12:00,Kafe,Sorong,263,0
74701.24,2025-01-16 07:49:00,Toko Online,Ambon,218,0
388436.77,2025-12-29 05:46:00,Restoran,Makassar,404,0
303081.89,2025-07-12 09:31:00,Transportasi,Pekalongan,65,0
19778.51,2025-07-01 00:12:00,Tagihan,Kotamobagu,24,0
228270.09,2025-08-30 21:15:00,Tagihan,Lubuklinggau,382,0
412162.27,2025-10-10 08:52:00,Restoran,Cirebon,6,0
143520.86,2025-09-23 18:57:00,Kafe,Kota Administrasi Jakarta Selatan,393,0
160832.87,2025-10-10 15:32:00,Tagihan,Tangerang,77,0
78655.18,2025-03-11 05:49:00,Toko Online,Blitar,3,0
128171.45,2025-10-28 20:50:00,Transportasi,Pariaman,480,0
326854.68,2025-08-18 05:19:00,Tagihan,Palu,190,0
150945.31,2025-08-09 07:49:00,Kafe,Payakumbuh,98,0
90835.09,2026-02-02 01:58:00,Toko Online,Banjar,257,0
96250.47,2025-11-07 12:31:00,Tagihan,Tanjungbalai,370,0
137194.04,2025-04-26 07:59:00,Transportasi,Surabaya,225,0
304308.63,2025-06-29 18:39:00,Tagihan,Medan,279,0
238686.81,2025-11-24 02:57:00,Transportasi,Tangerang,288,0
121270.36,2025-02-22 04:02:00,Supermarket,Padangpanjang,24,0
162061.06,2025-06-21 22:35:00,Transportasi,Tasikmalaya,480,0
175419.55,2025-09-01 02:51:00,Restoran,Batu,448,0
423724.4,2025-09-16 23:40:00,Transportasi,Pasuruan,442,0
460825.76,2025-09-08 04:08:00,Supermarket,Sorong,167,0
260064.8,2025-05-05 00:08:00,Transportasi,Jambi,77,0
310170.35,2025-02-25 11:17:00,Tagihan,Bandung,382,0
581046.79,2025-02-08 16:44:00,Restoran,Batu,294,0
540232.93,2025-05-28 17:10:00,Toko Online,Sabang,158,0
411290.73,2025-10-16 00:32:00,Supermarket,Pontianak,110,0
239744.1,2026-02-08 13:04:00,Supermarket,Batu,350,0
313018.57,2025-05-27 18:16:00,Transportasi,Kediri,27,0
70392.0,2026-01-12 05:27:00,Toko Online,Ternate,211,0
772486.23,2025-10-06 14:21:00,Toko Online,Medan,413,0
274081.36,2025-03-24 20:20:00,Restoran,Depok,435,0
136931.66,2025-07-05 22:55:00,Restoran,Denpasar,160,0
510887.61,2025-10-31 13:27:00,Kafe,Mataram,167,0
63659.01,2025-11-11 02:34:00,Tagihan,Sawahlunto,440,0
439398.3,2025-02-12 02:57:00,Tagihan,Metro,409,0
195674.52,2025-01-06 04:53:00,Transportasi,Serang,313,0
82881.89,2025-04-02 11:54:00,Toko Online,Payakumbuh,232,0
457649.3,2025-11-21 14:18:00,Transportasi,Yogyakarta,485,0
345948.64,2025-06-18 09:47:00,Toko Online,Kendari,124,0
353726.0,2026-01-12 16:08:00,Transportasi,Tasikmalaya,311,0
122523.78,2025-12-08 13:24:00,Kafe,Makassar,84,0
353795.73,2025-10-05 12:55:00,Toko Online,Samarinda,255,0
181062.04,2025-08-11 20:24:00,Toko Online,Banjarmasin,254,0
124939.2,2025-08-30 15:20:00,Kafe,Binjai,109,0
126980.88,2025-02-17 14:23:00,Kafe,Tanjungbalai,431,0
125073.98,2025-07-27 15:24:00,Restoran,Bengkulu,93,0
154812.17,2026-01-09 16:06:00,Kafe,Palopo,383,0
614064.0,2025-06-30 02:48:00,Supermarket,Bogor,133,0
111092.18,2025-03-05 20:52:00,Transportasi,Parepare,24,0
125807.98,2025-02-12 16:33:00,Tagihan,Kota Administrasi Jakarta Barat,31,0
721631.67,2025-11-26 20:41:00,Tagihan,Tual,198,0
227088.22,2025-08-05 20:32:00,Restoran,Meulaboh,14,0
324468.95,2025-12-13 06:55:00,Restoran,Magelang,326,0
403911.37,2025-05-15 22:50:00,Tagihan,Kupang,379,0
50421.12,2025-11-12 12:38:00,Restoran,Madiun,289,0
118884.81,2025-08-30 07:55:00,Supermarket,Gorontalo,101,0
127771.04,2025-09-26 08:11:00,Toko Online,Bontang,102,0
315659.17,2025-11-29 14:35:00,Supermarket,Kupang,221,0
190822.51,2026-02-18 16:51:41,Transportasi,Kendari,75,1
97273.7,2025-03-12 14:20:00,Toko Online,Bitung,150,0
518430.02,2025-10-05 19:03:00,Tagihan,Yogyakarta,465,0
443672.52,2026-01-18 03:04:00,Kafe,Serang,426,0
398253.29,2025-02-10 10:42:00,Supermarket,Kotamobagu,395,0
328694.02,2025-07-01 17:35:00,Transportasi,Tanjungbalai,465,0
421697.32,2025-05-26 08:57:00,Transportasi,Gorontalo,30,0
181117.34,2025-05-25 03:22:00,Toko Online,Surakarta,255,0
54335.06,2025-03-02 06:38:00,Transportasi,Depok,66,0
55409.18,2025-06-06 07:51:00,Tagihan,Payakumbuh,52,0
313859.33,2025-02-11 08:55:00,Supermarket,Makassar,60,0
71516.75,2025-11-19 07:09:00,Supermarket,Ambon,239,0
207827.08,2025-06-08 09:07:00,Tagihan,Prabumulih,474,0
169820.39,2025-06-20 09:09:00,Kafe,Pekalongan,327,0
225610.94,2026-02-10 03:36:00,Restoran,Probolinggo,470,0
295070.17,2025-03-23 04:08:00,Transportasi,Surakarta,124,0
260958.46,2025-11-01 20:40:00,Transportasi,Bau-Bau,64,0
479198.51,2025-06-26 17:40:00,Kafe,Balikpapan,87,0
298569.52,2025-06-12 10:53:00,Toko Online,Pekanbaru,1,0
289440.94,2025-12-07 00:25:00,Supermarket,Singkawang,235,0
111087.63,2026-01-14 16:57:00,Tagihan,Gorontalo,95,0
354842.49,2025-09-08 20:56:00,Supermarket,Sawahlunto,366,0
40808.76,2025-04-26 19:46:00,Toko Online,Sabang,66,0
462210.74,2025-11-15 17:08:00,Transportasi,Tual,98,0
111893.34,2025-05-28 05:21:00,Toko Online,Sawahlunto,10,0
75669.55,2025-05-25 07:29:00,Tagihan,Jayapura,239,0
121311.29,2025-09-05 02:22:00,Restoran,Sungai Penuh,409,0
401841.71,2025-06-07 21:28:00,Restoran,Purwokerto,5,0
248278.3,2025-04-01 01:10:00,Transportasi,Bau-Bau,299,0
231806.02,2025-01-13 15:22:00,Transportasi,Prabumulih,343,0
139609.51,2025-11-17 05:11:00,Supermarket,Banjarbaru,131,0
3218.52,2025-07-27 07:13:00,Supermarket,Lhokseumawe,256,0
199176.5,2025-04-16 08:59:00,Supermarket,Purwokerto,471,0
278067.52,2026-02-17 02:26:00,Kafe,Langsa,309,0
227462.51,2025-09-09 16:03:00,Tagihan,Cimahi,222,0
501429.84,2025-03-30 16:38:00,Tagihan,Probolinggo,190,0
218349.43,2025-09-14 07:38:00,Restoran,Tasikmalaya,441,0
190368.85,2025-02-14 07:21:00,Supermarket,Tangerang Selatan,337,0
299558.59,2026-01-27 07:45:00,Transportasi,Singkawang,27,0
304233.85,2025-10-17 01:55:00,Kafe,Magelang,197,0
325769.53,2025-07-31 03:19:00,Tagihan,Meulaboh,443,0
49576.52,2025-01-29 23:40:00,Restoran,Gorontalo,346,0
288735.16,2025-10-04 07:12:00,Supermarket,Medan,269,0
275641.18,2025-02-23 06:12:00,Restoran,Tangerang,324,0
227017.94,2025-04-26 10:43:00,Kafe,Pagaralam,364,0
746480.35,2025-04-12 01:05:00,Restoran,Tasikmalaya,388,0
213833.74,2025-09-29 09:18:00,Transportasi,Sawahlunto,276,0
401381.09,2025-09-30 03:50:00,Tagihan,Mataram,198,0
342480.25,2025-11-21 17:33:00,Restoran,Padang,342,0
65763.42,2025-06-03 11:28:00,Supermarket,Mataram,410,0
579029.32,2025-09-12 14:17:00,Transportasi,Magelang,114,0
299768.42,2025-10-20 15:46:00,Transportasi,Prabumulih,435,0
309330.54,2026-01-23 00:44:00,Toko Online,Batu,37,0
110956.82,2025-09-11 19:46:00,Kafe,Pasuruan,63,0
63413.32,2025-11-06 04:27:00,Supermarket,Yogyakarta,232,0
272908.48,2025-05-03 09:38:00,Transportasi,Cirebon,244,0
119360.73,2025-01-26 02:52:00,Tagihan,Sibolga,45,0
299842.29,2026-01-25 17:25:00,Restoran,Bau-Bau,238,0
245263.21,2025-04-29 14:02:00,Kafe,Palopo,396,0
441713.71,2025-12-29 13:10:00,Tagihan,Tegal,294,0
186661.52,2025-11-29 13:26:00,Toko Online,Banjarmasin,194,0
736272.88,2025-02-28 05:54:00,Tagihan,Tarakan,333,0
40776.17,2025-07-16 01:03:00,Restoran,Meulaboh,211,0
383428.49,2025-04-21 01:09:00,Kafe,Sabang,184,0
111846.64,2025-07-08 03:21:00,Transportasi,Batam,384,0
10135789.67,2026-02-17 11:07:40,Kafe,Palopo,491,1
436230.85,2025-11-15 19:40:00,Supermarket,Ambon,307,0
162838.04,2025-09-26 05:31:00,Kafe,Bau-Bau,368,0
77810.97,2025-06-21 02:15:00,Toko Online,Kendari,35,0
373401.18,2025-05-08 17:07:00,Toko Online,Bontang,240,0
104753.27,2025-09-24 10:41:00,Transportasi,Mataram,79,0
337251.77,2025-01-21 11:06:00,Tagihan,Balikpapan,198,0
95860.4,2025-05-02 16:04:00,Supermarket,Binjai,194,0
322650.94,2025-02-10 11:51:00,Toko Online,Sawahlunto,420,0
429798.17,2025-01-05 12:22:00,Tagihan,Tarakan,103,0
316276.51,2025-04-29 01:18:00,Tagihan,Kota Administrasi Jakarta Barat,443,0
596260.16,2026-01-02 21:15:00,Kafe,Meulaboh,424,0
338185.29,2025-09-18 04:30:00,Kafe,Gorontalo,244,0
99510.86,2025-04-30 17:57:00,Restoran,Bengkulu,444,0
195750.27,2025-12-19 01:10:00,Transportasi,Kotamobagu,354,0
314621.76,2026-02-12 11:56:00,Kafe,Cilegon,48,0
179208.94,2025-07-19 09:27:00,Kafe,Padangpanjang,337,0
513406.74,2025-12-01 18:59:00,Kafe,Langsa,131,0
76566.78,2025-10-03 09:39:00,Kafe,Medan,27,0
576781.71,2025-09-27 09:26:00,Transportasi,Bengkulu,396,0
169645.29,2025-06-25 21:37:00,Restoran,Gorontalo,82,0
749455.47,2025-09-27 21:20:00,Tagihan,Lhokseumawe,328,0
659281.73,2025-05-13 14:33:00,Tagihan,Langsa,413,0
341794.71,2025-09-26 20:04:00,Tagihan,Gorontalo,264,0
307266.73,2025-02-22 16:56:00,Tagihan,Sorong,138,0
155792.82,2025-01-01 15:34:00,Toko Online,Jambi,463,0
227354.78,2025-01-27 12:46:00,Restoran,Tebingtinggi,27,0
11748555.2,2026-02-18 08:55:55,Transportasi,Bogor,159,1
437004.59,2025-07-24 16:29:00,Toko Online,Banda Aceh,69,0
163756.57,2025-01-25 04:48:00,Supermarket,Probolinggo,15,0
432463.63,2025-09-03 13:42:00,Supermarket,Sorong,380,0
194195.76,2026-01-17 08:49:00,Transportasi,Batam,278,0
379402.0,2025-08-18 12:26:00,Toko Online,Lubuklinggau,92,0
97556.07,2025-06-02 13:39:00,Transportasi,Denpasar,218,0
230545.47,2025-02-01 02:13:00,Restoran,Parepare,194,0
269498.85,2025-07-10 08:59:00,Supermarket,Magelang,113,0
59301.58,2025-05-27 08:27:00,Tagihan,Banda Aceh,108,0
259543.11,2026-01-08 11:18:00,Supermarket,Pangkalpinang,488,0
381619.12,2025-04-11 09:34:00,Kafe,Palembang,122,0
165728.62,2025-04-21 08:35:00,Kafe,Banjarbaru,329,0
406112.25,2025-04-25 06:52:00,Toko Online,Pematangsiantar,322,0
411699.47,2025-12-27 19:13:00,Transportasi,Pematangsiantar,175,0
157754.18,2025-05-23 12:00:00,Supermarket,Mojokerto,221,0
319162.74,2026-01-18 21:59:00,Restoran,Palembang,348,0
299428.89,2025-01-27 13:37:00,Transportasi,Pontianak,332,0
46613.4,2026-02-18 05:40:25,Judi Online,Malang,149,1
55728.7,2025-07-03 23:48:00,Tagihan,Depok,52,0
371669.57,2025-12-23 14:54:00,Kafe,Banjar,47,0
99187.37,2025-03-20 05:16:00,Toko Online,Magelang,11,0
103624.48,2025-02-21 20:58:00,Toko Online,Bandar Lampung,473,0
461220.92,2025-12-28 12:43:00,Transportasi,Pariaman,442,0
659817.84,2025-08-10 12:35:00,Transportasi,Lhokseumawe,37,0
47562.73,2025-07-09 20:09:00,Toko Online,Gorontalo,35,0
201677.07,2025-03-26 20:34:00,Tagihan,Depok,358,0
313276.94,2025-10-11 09:08:00,Transportasi,Pekanbaru,485,0
115385.66,2025-05-25 23:18:00,Kafe,Kota Administrasi Jakarta Selatan,499,0
278926.39,2025-05-09 06:51:00,Kafe,Tebingtinggi,294,0
344653.62,2025-12-02 03:54:00,Restoran,Yogyakarta,365,0
343477.85,2025-02-12 08:28:00,Restoran,Salatiga,254,0
32065.19,2025-05-19 18:23:00,Restoran,Banda Aceh,3,0
161263.78,2025-04-13 18:31:00,Toko Online,Surabaya,399,0
305934.9,2026-02-08 07:13:00,Tagihan,Semarang,414,0
109956.97,2025-08-07 22:15:00,Supermarket,Kediri,224,0
226821.88,2025-05-06 17:55:00,Toko Online,Subulussalam,124,0
247017.55,2025-08-07 11:54:00,Transportasi,Cirebon,14,0
298312.47,2025-03-18 21:36:00,Supermarket,Tanjungbalai,87,0
399348.26,2025-07-23 03:09:00,Transportasi,Purwokerto,217,0
65753.29,2025-12-24 19:39:00,Tagihan,Cimahi,95,0
229671.25,2026-01-08 15:51:00,Restoran,Purwokerto,391,0
331988.52,2025-01-21 18:23:00,Toko Online,Semarang,25,0
124635.73,2025-11-12 22:51:00,Kafe,Bima,296,0
147925.25,2025-12-21 00:33:00,Tagihan,Palembang,458,0
74229.09,2025-05-06 23:40:00,Toko Online,Langsa,428,0
59807.35,2025-09-29 07:49:00,Transportasi,Makassar,171,0
191214.92,2025-03-28 05:36:00,Toko Online,Sungai Penuh,401,0
215800.8,2025-09-16 00:31:00,Kafe,Jayapura,344,0
58232.92,2025-09-23 21:18:00,Kafe,Salatiga,234,0
70636.94,2025-05-10 01:38:00,Tagihan,Pasuruan,20,0
342317.71,2025-10-21 06:51:00,Restoran,Tanjungpinang,402,0
523915.28,2025-07-07 09:35:00,Tagihan,Cimahi,424,0
245907.97,2026-01-15 02:22:00,Kafe,Pangkalpinang,438,0
94425.51,2025-03-20 08:28:00,Kafe,Tomohon,442,0
169738.61,2025-07-05 19:34:00,Toko Online,Padangpanjang,381,0
115572.55,2026-02-16 06:40:00,Toko Online,Ternate,299,0
391016.23,2025-10-20 08:30:00,Tagihan,Sibolga,133,0
264095.42,2025-10-09 23:39:00,Kafe,Pontianak,42,0
483343.56,2025-01-17 06:59:00,Supermarket,Semarang,158,0
158822.58,2025-12-30 01:03:00,Supermarket,Gorontalo,20,0
501235.22,2025-11-25 01:43:00,Supermarket,Pangkalpinang,110,0
193883.41,2025-02-26 22:08:00,Kafe,Parepare,49,0
237249.76,2025-03-03 18:24:00,Toko Online,Batam,443,0
461956.3,2025-06-12 21:57:00,Toko Online,Probolinggo,74,0
509682.84,2025-02-17 02:26:00,Tagihan,Tasikmalaya,114,0
281469.91,2026-01-06 18:39:00,Restoran,Tangerang,34,0
504784.62,2025-02-26 09:46:00,Kafe,Solok,253,0
171538.74,2025-11-13 22:50:00,Tagihan,Serang,415,0
260689.02,2025-04-03 02:39:00,Supermarket,Tasikmalaya,85,0
89675.37,2025-01-08 02:26:00,Transportasi,Blitar,299,0
112905.97,2025-09-21 09:21:00,Tagihan,Kota Administrasi Jakarta Barat,354,0
61004.53,2025-01-02 14:50:00,Toko Online,Metro,340,0
109781.17,2025-07-21 18:44:00,Restoran,Pariaman,62,0
476249.37,2026-01-05 16:03:00,Restoran,Serang,365,0
54886.81,2025-10-11 08:27:00,Toko Online,Tangerang,52,0
127238.42,2025-09-09 18:43:00,Kafe,Kota Administrasi Jakarta Utara,313,0
294333.79,2025-03-18 15:39:00,Transportasi,Jambi,114,0
389130.43,2025-06-04 04:03:00,Transportasi,Pontianak,86,0
226629.95,2025-10-07 20:25:00,Toko Online,Yogyakarta,493,0
570772.71,2025-05-01 16:50:00,Transportasi,Pontianak,455,0
120434.21,2025-08-10 02:27:00,Toko Online,Kota Administrasi Jakarta Barat,417,0
340330.86,2025-04-27 00:31:00,Transportasi,Ambon,220,0
159620.55,2025-05-01 13:12:00,Restoran,Cirebon,364,0
103480.76,2025-03-17 19:04:00,Transportasi,Bandung,384,0
267016.91,2025-03-24 08:58:00,Kafe,Kota Administrasi Jakarta Pusat,285,0
110937.09,2025-07-04 20:15:00,Restoran,Pontianak,372,0
297607.67,2025-10-01 23:09:00,Transportasi,Makassar,405,0
49258.9,2026-01-15 22:51:00,Kafe,Bau-Bau,314,0
251827.9,2025-07-07 18:42:00,Tagihan,Purwokerto,19,0
314650.38,2025-07-07 11:07:00,Kafe,Metro,402,0
264164.34,2025-02-21 15:16:00,Toko Online,Meulaboh,76,0
185493.44,2025-10-10 07:28:00,Restoran,Cirebon,327,0
65261.34,2025-05-10 13:16:00,Toko Online,Serang,325,0
133315.1,2025-12-18 17:52:00,Tagihan,Surabaya,278,0
374503.55,2025-04-20 22:37:00,Tagihan,Bengkulu,57,0
